tenor,pv01
1y,99.42
2y,198.22
3y,294.66
4y,389.3
5y,482.24
6y,573.08
7y,661.79
10y,914.99
12y,"1,073.25"
15y,"1,295.39"
20y,"1,629.88"
25y,"1,925.46"
30y,"2,187.74"
40y,"2,629.79"
