,3 Mo,2 Yr,3 Yr,5 Yr,7 Yr,10 Yr,30 Yr
3 Mo,5.608287074851089,5.574586753530291,5.333412871604377,4.803428052399804,4.409135638801389,3.9542003845934715,3.706142035935587
2 Yr,5.574586753530291,5.7596615132738656,5.573126480523304,5.103022773853435,4.724389008866425,4.274960996198014,4.067757829793736
3 Yr,5.333412871604377,5.573126480523304,5.422739345098934,5.009158835052963,4.660126936759718,4.237173376250208,4.063644045271643
5 Yr,4.803428052399804,5.103022773853435,5.009158835052963,4.701917481433626,4.414041022220207,4.052777189238344,3.948761699271244
7 Yr,4.409135638801389,4.724389008866425,4.660126936759718,4.414041022220207,4.16985986185341,3.851158462136795,3.789287539088026
10 Yr,3.9542003845934715,4.274960996198014,4.237173376250208,4.052777189238344,3.851158462136795,3.588275559556906,3.575216183200901
30 Yr,3.706142035935587,4.067757829793736,4.063644045271643,3.948761699271244,3.789287539088026,3.575216183200901,3.154553062125167
